GEO.id,GEO.id2,GEO.display-label,GRT_STUB.target-geo-id,GRT_STUB.target-geo-id2,GRT_STUB.rank-label,GRT_STUB.display-label,EST,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Rank,Geographical Area,Dollar,Margin of Error
0100000US,,United States,0100000US,,,United States,57617,115
0100000US,,United States,0400000US24,24,1,Maryland,78945,737
0100000US,,United States,0400000US02,2,2,Alaska,76440,2230
0100000US,,United States,0400000US34,34,3,New Jersey,76126,701
0100000US,,United States,0400000US11,11,4,District of Columbia,75506,3416
0100000US,,United States,0400000US25,25,5,Massachusetts,75297,771
0100000US,,United States,0400000US15,15,6,Hawaii,74511,1776
0100000US,,United States,0400000US09,9,7,Connecticut,73433,1059
0100000US,,United States,0400000US33,33,8,New Hampshire,70936,1422
0100000US,,United States,0400000US51,51,9,Virginia,68114,748
0100000US,,United States,0400000US06,6,10,California,67739,356
0100000US,,United States,0400000US53,53,11,Washington,67106,595
0100000US,,United States,0400000US49,49,12,Utah,65977,955
0100000US,,United States,0400000US08,8,13,Colorado,65685,636
0100000US,,United States,0400000US27,27,14,Minnesota,65599,606
0100000US,,United States,0400000US36,36,15,New York,62909,631
0100000US,,United States,0400000US10,10,16,Delaware,61757,1492
0100000US,,United States,0400000US17,17,17,Illinois,60960,389
0100000US,,United States,0400000US38,38,18,North Dakota,60656,1528
0100000US,,United States,0400000US44,44,19,Rhode Island,60596,1591
0100000US,,United States,0400000US56,56,20,Wyoming,59882,2214
0100000US,,United States,0400000US50,50,21,Vermont,57677,1672
0100000US,,United States,0400000US41,41,22,Oregon,57532,855
0100000US,,United States,0400000US31,31,23,Nebraska,56927,767
0100000US,,United States,0400000US42,42,24,Pennsylvania,56907,360
0100000US,,United States,0400000US55,55,25,Wisconsin,56811,549
0100000US,,United States,0400000US48,48,26,Texas,56565,300
0100000US,,United States,0400000US19,19,27,Iowa,56247,695
0100000US,,United States,0400000US32,32,28,Nevada,55180,901
0100000US,,United States,0400000US20,20,29,Kansas,54935,893
0100000US,,United States,0400000US46,46,30,South Dakota,54467,1289
0100000US,,United States,0400000US13,13,31,Georgia,53559,710
0100000US,,United States,0400000US04,4,32,Arizona,53558,634
0100000US,,United States,0400000US23,23,33,Maine,53079,1379
0100000US,,United States,0400000US26,26,34,Michigan,52492,402
0100000US,,United States,0400000US39,39,35,Ohio,52334,275
0100000US,,United States,0400000US18,18,36,Indiana,52314,371
0100000US,,United States,0400000US16,16,37,Idaho,51807,963
0100000US,,United States,0400000US29,29,38,Missouri,51746,374
0100000US,,United States,0400000US12,12,39,Florida,50860,241
0100000US,,United States,0400000US37,37,40,North Carolina,50584,292
0100000US,,United States,0400000US30,30,41,Montana,50027,1096
0100000US,,United States,0400000US45,45,42,South Carolina,49501,601
0100000US,,United States,0400000US40,40,43,Oklahoma,49176,625
0100000US,,United States,0400000US47,47,44,Tennessee,48547,675
0100000US,,United States,0400000US35,35,45,New Mexico,46748,826
0100000US,,United States,0400000US21,21,46,Kentucky,46659,600
0100000US,,United States,0400000US01,1,47,Alabama,46257,677
0100000US,,United States,0400000US22,22,48,Louisiana,45146,776
0100000US,,United States,0400000US05,5,49,Arkansas,44334,921
0100000US,,United States,0400000US54,54,50,West Virginia,43385,1112
0100000US,,United States,0400000US28,28,51,Mississippi,41754,556
0100000US,,United States,0400000US72,72,,Puerto Rico,20078,354